一品食棧,4.3,820,中港便當
依碗麵,4.2,29,中港便當
金全城自助餐,4.2,129,中港便當
滿意廚房,4.5,83,中港便當
港元燒臘,4.4,112,中港便當
立大功鐵板燒便當,4.4,305,中港便當
魔法雞排(台大公館店),4.7,184,中港炸雞
MR.GUGU(台北吳興店),4.4,470,中港炸雞
素食之家,4.7,238,中港素食
金玅幸福素食店,4.6,115,中港素食
蓮池閣素菜餐廳,4.6,99,中港素食
菩提樹素食,4.8,30,中港素食
寬心園精緻蔬食料理(台北安和店),4.6,24,中港素食
小涼院霜淇淋專門店,4.5,40,中港甜點
Mr.雪腐(台北公館店),4.8,69,中港甜點
友蓁豆花店,4.8,10,中港甜點
其實豆製所(台北東門店),4.6,48,中港甜點
梁記手作豆花(台北廈門店),4.4,318,中港甜點
甜品胃,4.7,629,中港甜點
楓茶記(台北大安店),4.7,127,中港甜點
師大爆漿起司車輪餅,4.6,122,中港甜點
JJ豆花,4.5,406,中港甜點
咕咕鬆餅屋(台北信大店),4.4,211,中港甜點
脆皮圓形燒,3.8,53,中港甜點
?心燒。甜心紅豆餅,3.8,27,中港甜點
紅豆仙生,4.2,227,中港甜點
才哥甜品舖(台北吳興店),4.5,283,中港甜點
SuperPaPa雪花冰甜品,4.2,37,中港甜點
TEATOP(台北台大店),4.6,97,中港飲料
夏可里朵,4.6,46,中港飲料
空杯和平1號店,4.3,99,中港飲料
COMEBUY(台北汀州店),4.7,18,中港飲料
旺來甜冰品,4.5,23,中港飲料
凰上您好,4.6,96,中港飲料
茶湯會(台北公館店),4.7,459,中港飲料
康青龍(台大公館店),4.8,253,中港飲料
猛男咖啡(大成精品店),3,1,中港飲料
TenPastTen咖啡豆專賣店,4.9,22,中港飲料
黑瓶咖啡BlackBottle,4.2,36,中港飲料
Bluedeer布鹿果漾新鮮式(台北瑞安店),4.4,180,中港飲料
四口木果汁店,4.6,281,中港飲料
TEATOP(台北師大店),4.7,293,中港飲料
COMEBUY(大安師大店),4.7,92,中港飲料
清心福全(台北大安成功店),4.8,70,中港飲料
清心福全(台北大安建國南店),4.9,54,中港飲料
康青龍(台北信義大安店),4.8,567,中港飲料
BobiiFrutii珍珠水果特調(台北永康店),4.6,313,中港飲料
武林茶(台北通化店),4.8,342,中港飲料
鬥茶堂(台北通化店),4.6,28,中港飲料
一芳水果茶(台北通化店),4.9,78,中港飲料
溫叨cafe(台北東門店),4.5,782,中港飲料
鮮茶道(北市通化店),4.7,499,中港飲料
沐白小農(台北通化店),4.8,1244,中港飲料
果然好合THEBLENDTEASHOP,4.5,8,中港飲料
清心福全(大安杭州南店),1,none,中港飲料
康青龍(大安通化店),4.7,745,中港飲料
Kafemera,4.9,14,中港飲料
雙珠鮮奶飲品店,4.2,28,中港飲料
早餐送起士小農鮮奶,3.8,18,中港飲料
清心福全(信義世貿店),4.8,697,中港飲料
康青龍(台北濟南店),4.7,331,中港飲料
COMEBUY(台北北醫店),4.7,149,中港飲料
迷客夏milkshop(台北南昌店),4.8,457,中港飲料
合粹,4.4,190,中港飲料
迷客夏(台北北醫店),4.8,238,中港飲料
LadyBean逗逗小姐,4.7,220,中港飲料
大苑子(台北南昌店),4.8,351,中港飲料
CAF'EFUGUROASTERS,4.6,6,中港飲料
武林茶(台北敦南店),4.7,247,中港飲料
nooicafe諾伊咖啡,4.5,258,中港飲料
舒油頭(信義北醫店),4.6,44,中港飲料
打卡咖啡館(台北光復店),4.8,59,中港飲料
黑爺黑糖鮮奶波霸(台北延吉店),4.6,51,中港飲料
水巷茶弄(延吉忠孝店),4.8,725,中港飲料
綿綿mimitea,4.9,42,中港飲料
COMEBUY(台北忠孝sogo店),4.7,85,中港飲料
ina飲拿,4.4,50,中港飲料
康青龍(台北延吉店),4.9,131,中港飲料
Like17,4.6,43,中港飲料
COMEBUY(台北建國店),4.8,79,中港飲料
俏Ciaotender,4.7,58,中港飲料
康青龍(台北華山店),4.7,323,中港飲料
小茗堂Mingdei,4.6,73,中港飲料
THEWORKSHOPxytCa,4.4,14,中港飲料
天仁CHAFFEE(台北南山微風店),4.7,84,中港飲料
CM(台北松江),4.5,40,中港飲料
烏弄(台北遼寧店),4.7,151,中港飲料
草本茶集(台北遼寧店),4.5,100,中港飲料
五十嵐(長安店),4.3,3,中港飲料
COMEBUY(台北南機場店),4.8,182,中港飲料
烤茶之家&鮮榨果汁,4.6,107,中港飲料
春紀本家(台北八德總店),4.3,118,中港飲料
