,店名,星級,評論數,分類,適合人數(1、2-4、5),心情(好、普、爛)
362,鮮茶道(北市永吉店),4.8,162,中港飲料,1,1
363,Mr.Wish(台北市府店),4.7,483,中港飲料,2,1
364,COMEBUY(台北市府店),4.7,320,中港飲料,2,2
368,武林茶(台北公館汀州店),4.8,99,中港飲料,2,2
369,阿二冰茶,4.6,475,中港飲料,2,2
373,THEONETEA一茶工房,4.6,263,中港飲料,1,3
374,青果園鮮萃飲,4.5,95,中港飲料,1,2
375,幸福堂(台北通化店),4.3,156,中港飲料,2,1
378,拉CHA茶,4.6,77,中港飲料,2,2
379,自己來紅茶鮮乳(台北臨江店),4.7,83,中港飲料,1,2
381,御心木瓜牛奶,4.8,612,中港飲料,1,2
385,瓷禧茶坊(台北中正店),4.6,418,中港飲料,3,2
390,瓷禧茶坊(台北松菸店),4.6,126,中港飲料,3,1
391,何媽媽手作蒟蒻,4.7,188,中港飲料甜點,2,1
393,"麻舖子,川蜀麻辣燙.滷味",4.2,112,中港滷味,2,2
394,川霸子麻辣滷味(吳興店),4.5,355,中港滷味,2,2
396,香師傅滷味(台北大安店),4.6,876,中港滷味,3,2
397,韓老六椒香滷味,4.6,306,中港滷味,3,2
398,辣妞妞麻辣燙(南機場店),4.6,819,中港滷味,2,2
399,八方雲集(建南店),4.8,137,中港餃子,3,2
400,八方雲集(忠孝三店),4.6,169,中港餃子,3,2
402,八方雲集(信義世貿店),4.6,84,中港餃子,2,2
404,牛老大麵食館,4.5,1506,中港麵類,2,1
407,新明老爹牛肉麵,4.2,81,中港麵類,2,2
408,霸王麵店,4.2,544,中港麵類,2,2
411,陳鐵心台灣料理,4.5,1307,中港麵類,3,2
412,牛樂麵,4.6,380,中港麵類,1,2
413,旺仔牛肉麵,4.7,344,中港麵類,2,1
414,山東曲曲麵疙瘩,4.4,90,中港麵類,2,2
415,傳統美食麵店,4.4,210,中港麵類,2,2
417,餃子樂(台北信義店),4.7,98,中港麵類,3,1
418,齊媽媽雞湯麵牛肉麵,4.5,351,中港麵類,2,2
425,老先覺麻辣窯燒鍋(台北和平三店),4.7,903,火鍋中港,2,1
426,登豐港式麻辣,4.6,235,火鍋中港,2,2
429,火山一鍋,4.3,353,火鍋中港,2,2
430,8鍋臭臭鍋(北醫吳興店),4.6,1143,火鍋中港,1,1
431,上官木桶鍋(台北中正店),4.3,80,火鍋中港,3,1
436,華山鍋燒小火鍋,4.1,1251,火鍋中港,3,2
437,一品花雕雞,4.5,113,火鍋中港,3,1
438,麗媽香香鍋(台北延吉店),4.6,6846,火鍋中港,1,2
439,金霸臭臭鍋,4.5,820,火鍋中港,2,1
447,邱記麻辣食堂,4.6,371,火鍋中港,2,2
449,八兩八臭臭鍋.鐵板便當,4.4,214,火鍋中港,2,2
451,狀元紅牛肉火鍋專家(台北中山店),4.5,99,火鍋中港,3,1
452,福來早餐(台北六張犁店),4.6,284,早餐中港,2,1
453,紅橘子精緻早午餐(台北和平店),4.7,4019,早餐中港,1,2
455,紅橘子精緻早午餐(和平二店),4.5,689,早餐中港,2,2
456,麥味登(北市和平店),4.5,920,早餐中港,1,2
457,蘋果203早午餐(台北北醫店),4.5,148,早餐中港,2,2
458,豐滿早午餐(信義世貿店),4.5,89,早餐中港,2,2
459,麥味登(台北松仁店),4.7,107,早餐中港,1,2
461,安好食(台北和平東路店),4.6,215,早餐中港,2,1
462,美味坊,4.5,88,早餐中港,2,2
463,活力飯糰(台北大安店),4.5,100,早餐中港,1,2
464,美聚客早午餐,4.6,313,早餐中港,2,2
465,初飽飽鐵板土司專賣店,4.6,423,早餐中港,1,1
466,紅橘子精緻早午餐(台北延吉店),4.6,414,早餐中港,1,2
468,嘉嘉漢堡(北市中正店),4.6,482,早餐中港,1,2
471,好運來早午餐店,4.6,1808,早餐飲料中港,2,2
473,18獨享鍋(誠品敦南店),4.5,865,百貨美食節中港,1,3
477,于記杏仁(誠品敦南店),4.6,202,百貨美食節中港甜點,1,2
479,天仁喫茶趣TOGO(誠品敦南店),4.7,545,百貨美食節中港飲料,1,1
483,鬍鬚張魯肉飯(台北大安店),4.6,601,便當中港,1,2
484,佳家手作餐盒,4.4,311,便當中港,1,2
487,鬍鬚張魯肉飯(台北通化店),4.6,1231,便當中港,2,2
489,佳典魯肉飯(台北汀洲店),4.6,460,便當中港,3,2
490,肉伯火雞肉飯,4.6,2671,便當中港,2,3
493,鬍鬚張魯肉飯(台北南昌店),4.6,578,便當中港,2,2
494,鬍鬚張魯肉飯(忠孝新生店),4.6,1127,便當中港,3,2
497,新東陽麥記燒臘(台北忠孝一店),4.5,360,便當中港,3,3
498,秧米YumeatRice,4.6,737,便當中港,2,1
500,鬍鬚張魯肉飯(台北華山店),4.6,1056,便當中港,1,2
501,鬍鬚張魯肉飯(台北南門店),4.7,2791,便當中港,2,1
502,Majide鐵板蓋飯專門店,4.4,224,便當中港,3,2
503,鑫吉野烤肉飯(台北公館店),4.5,233,便當中港,2,1
506,鴻膳食堂,4.6,456,便當中港,2,2
507,甩三小專業羊肉(敦南店),4.6,1269,便當中港,3,1
508,羊角當歸羊肉湯火雞肉飯,4.5,159,便當中港,2,2
509,龍涎居(台北臨江店),4.6,408,便當中港,2,2
510,有點鮮Alittlefresh,4.3,124,便當中港,2,2
511,喬比廚房JobbieKitchen,4.6,147,便當中港,3,2
512,樂活食堂,4.7,449,便當中港,2,2
514,鴨豆府,4.4,78,便當中港,2,2
515,大道18號精緻熱炒,4.5,161,便當中港,2,1
516,老士林烤肉飯(台北信義店),4.6,214,便當中港,1,1
517,烤肉工廠-烤肉飯專賣店,4.6,138,便當中港,1,2
518,瘦虎麵屋,4.4,179,便當中港,1,2
519,DELIDAY橄欖油健康餐盒,4.6,150,便當中港,2,2
520,名門燒臘,4.4,3373,便當中港,2,1
523,鬍鬚張魯肉飯(誠品敦南店),4.6,362,便當百貨美食節中港,2,2
525,炸雞大獅(中正公館店),4.8,162,炸雞中港,3,1
527,老爹無骨鹹酥雞,4.5,221,炸雞中港,1,3
528,台灣鹽酥雞(台北通化店),4.6,6789,炸雞中港,1,3
529,OvenMaru烤頂雞,4.6,1231,炸雞中港,2,3
530,魔法雞排(台北忠孝店),4.6,251,炸雞中港,2,3
531,Mr.Smile好吃雞排(台北復興店),4.6,135,炸雞中港,1,1
532,皇家鹹酥雞(台北臥龍店),4.6,119,炸雞中港,2,3
533,炸老大(台北瑞安店),4.4,365,炸雞中港,2,1
534,艋舺雞排(大安通化店),4.7,2975,炸雞中港,2,1
535,鳳記轟炸雞無骨鹹酥雞(台北通化店),4.5,604,炸雞中港,3,1
537,東區鹽酥雞,4.4,839,炸雞中港,3,2
538,王哥鹹酥雞,4.5,386,炸雞中港,3,1
539,丰馥刈包,4.5,323,炸雞中港,1,1
540,繼光香香雞(台北忠孝店),4.6,461,炸雞中港小吃,1,3
542,遼寧福州乾麵,4.4,3885,素食中港,1,2
543,菠蘿麵包boropan(台北忠孝店),4.6,209,甜點中港,2,1
